date,open,close,volume
2017-10-02 19,4372.53,4397.7,1808939.0216739697
2017-10-02 20,4406.6,4387.55,1256334.559126236
2017-10-02 21,4387.55,4374.4,2281632.3534571193
2017-10-02 22,4374.34,4367.99,1310341.9042066303
2017-10-02 23,4367.99,4377.95,891381.9612969602
2017-10-03 00,4377.96,4376.3,701732.6772135772
2017-10-03 01,4375.98,4404.98,1754336.005003097
2017-10-03 02,4404.76,4413.17,1150480.6194381271
2017-10-03 03,4413.19,4413.91,436912.04738685116
2017-10-03 04,4401.08,4407.16,364698.98041417316
2017-10-03 05,4407.21,4304.94,5290860.786954302
2017-10-03 06,4304.89,4293.38,4061519.521812331
2017-10-03 07,4293.29,4293.04,2777835.73739243
2017-10-03 08,4293.01,4322.71,2654962.8012825153
2017-10-03 09,4322.82,4283.08,2522503.4090826185
2017-10-03 10,4278.3,4311.33,3136442.569084161
2017-10-03 11,4312.82,4298.35,2040483.9164870395
2017-10-03 12,4298.32,4250.01,3009311.0558172795
2017-10-03 13,4250.01,4245.68,5632939.717158251
2017-10-03 14,4242.28,4275.01,1778205.7930957898
2017-10-03 15,4278.56,4294.0,2817472.1150824795
2017-10-03 16,4294.0,4264.8,4709301.609378301
2017-10-03 17,4264.8,4280.7,2343266.6145622595
2017-10-03 18,4280.7,4295.01,1237976.3040170402
2017-10-03 19,4295.88,4268.0,1400698.0598369192
2017-10-03 20,4264.99,4282.68,963736.4963804382
2017-10-03 21,4284.17,4270.49,960054.54022975
2017-10-03 22,4270.3,4295.54,767957.0596661519
2017-10-03 23,4290.28,4312.24,1126859.858385815
2017-10-04 00,4315.74,4300.0,857105.294374962
2017-10-04 01,4300.0,4309.78,482051.48732288
2017-10-04 02,4309.77,4296.46,306959.90074675105
2017-10-04 03,4299.01,4300.0,368679.27396940195
2017-10-04 04,4300.0,4308.0,239427.68502692497
2017-10-04 05,4308.7,4327.45,1645057.86566353
